DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,10215988000160,Serviços Transporte e Logística,2024-12-31,19156054000.0,17041633000.0,8503476000.0,834795000.0,866894000.0,7.530021137292627,0.036997569423071135,0.16376091377220328,0.0981710302939645,0.04898562244592405,0.04357865142789846,10.828745320280854,SAFE,0
URBA DESENVOLVIMENTO URBANO S.A.,10571175000102,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,1386013000.0,143230000.0,251596000.0,2643000.0,51773000.0,3.0394919940449063,2.6854709208964604,0.46474904211513696,0.010504936485476717,0.01845283809257837,0.0019069085210600479,2.0239411829004883,GREY,0
PRIO S.A.,10629105000168,Petróleo e Gás,2024-12-31,55746165000.0,25924192000.0,14360653000.0,10301606000.0,6945461000.0,2.1560777390140666,0.865356845065798,0.5065770337880875,0.7173494130106758,0.3973742363889297,0.18479488230266602,2.2518002712442113,GREY,0
BRBI BR PARTNERS S.A,10739356000103,Emp. Adm. Part. - Bancos,2024-12-31,15056487000.0,804590000.0,364822000.0,193670000.0,23033000.0,1.0456851463352563,17.019787717968157,1.0,0.5308616256695046,0.24070644676170472,0.012862894246181065,0.35323721229094485,DISTRESS,0
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10760260000119,Hospedagem e Turismo,2024-12-31,3840648000.0,531632000.0,1420763000.0,-103341000.0,90815000.0,0.8796454220626096,1.0201060131820507,0.9254295051321015,-0.0727362691736764,-0.19438446143196797,-0.02690717816368488,-0.19284716458897982,DISTRESS,0
BOA SAFRA SEMENTES S.A.,10807374000177,Alimentos,2024-12-31,2666602000.0,1954270000.0,1841052000.0,160508000.0,145119000.0,4.064108555790394,0.211847390585743,0.12146424978762142,0.08718276289860362,0.08213194696740983,0.06019195965502164,7.230939292352118,SAFE,0
ELFA MEDICAMENTOS S.A.,09053134000145,Serviços Médicos,2024-12-31,6839291000.0,3147112000.0,5565261000.0,-134025000.0,181027000.0,1.5420318131367639,0.5234710426575222,0.16207451905669834,-0.02408242847909559,-0.04258666358235741,-0.019596329502575633,2.200715563702914,GREY,0
LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,09041168000110,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,6774201000.0,3605375000.0,219742000.0,344378000.0,487940000.0,1.4548286009323537,0.5730893457684707,0.9757260787650972,1.5671924347644055,0.09551794196165447,0.05083669646058627,2.0569543415706457,GREY,0
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,11421994000136,"Saneamento, Serv. Água e Gás",2024-12-31,3334198000.0,873871000.0,903473000.0,74476000.0,273118000.0,2.1549588388368517,2.136811955082615,0.4577303361583578,0.08243301127980582,0.08522539367938746,0.022337005780700487,1.9784158838604746,GREY,0
MULTINER S/A,08935054000150,Energia Elétrica,2024-12-31,1991488000.0,-211024000.0,172205000.0,-44057000.0,-27641000.0,0.6177794243430867,-6.955668549548866,-0.1830492726692024,-0.2558404227519526,0.20877720069755099,-0.022122654015489924,-1.7326085152224526,DISTRESS,1
AURA ALMAS MINERAÇÃO S.A.,08213823000107,Emp. Adm. Part. - Extração Mineral,2024-12-31,1891876000.0,375759000.0,708431000.0,138595000.0,353374000.0,2.822113482709586,3.0186369454889967,0.6276729843838003,0.19563655458329746,0.3688401342349751,0.07325797250982623,3.288219911594718,SAFE,0
